년도,분류,형태,제목,1저자,공저자,초록,키워드
,,,From Capturing Nursing Knowledge to Retrieval of Data from a Data Warehouse,Asta Thoroddsen,Hanna K. Guðj?nsd?ttir and Elisabet Guðmundsd?ttir,"The purpose of the project was to capture nursing data and knowledge, represent it for use and re-use by retrieval from a data warehouse, which contains both clinical and financial hospital data. Today nurses at LUH use standardized nursing terminologies to document information related to patients and the nursing care in the EHR at all times. Pre-defined order sets for nursing care have been developed using best practice where available and tacit nursing knowledge has been captured and coded with standardized nursing terminologies and made explicit for dissemination in the EHR. All patient-nursing data is permanently stored in a data repository. Core nursing data elements have been selected for transfer and storage in the data warehouse and patient-nursing data are now captured, stored, can be related to other data elements from the warehouse and be retrieved for use and re-use.","data warehouse, standardized nursing terminologies, knowledge management, nursing informatics"
,,,Improving Inpatient Fall Prevention Strategies Using Interactive Data Repository Information System,Lichin Chen,"Hui-Chu Yu, Hung-Chang Lee, Yufang Chung, Rung-Ji Shang, Hsiu-Yun Liu, Ching-Ting Tan and Feipei Lai","Observing the pattern changes of inpatient fall and validating the Fall Prevention Tool Kit (FPTK) are essential for developing fall prevention strategies. However, the work requires the collection, calculation, and comparison of large amount of data. The information is often scattered in diverse information systems and lack of integration, which makes the work difficult and often neglected. This study demonstrates the development of an Interactive Data Repository System (IDRS) and uses it in the analysis of the pattern changes of inpatient fall within the institute, and validates efficiency of the FPTK across time. This study collected the incident data of year 2011 and compared it with the previous analysis in 2001. The result shows that reasons for patient fall had turned from physical disability to impaired conscious or cognition. The scoring result may be too sensitive in identifying patient falls. Patients with high scores needed to reinforce in functional strength.","Accidental falls, quality of healthcare, database, patient safety."
,Meaningful Use of Electronic Record Systems for Better Health Care,,Identifying Barriers for Implementation of Computer Based Nursing Documentation,Anna-Maria Vollmer,Hans-Ulrich Prokosch and Thomas B?rkle,"This study was undertaken in the planning phase for the introduction of a comprehensive computer based nursing documentation system at Erlangen University Hospital. There, we expect a wide range of difficult organizational changes, because the nurses currently neither used computer based nursing documentation nor did they follow strongly the nursing process model within paper based documentation. Thus we were eager to recognize potential pitfalls early and to identify potential barriers for digital nursing documentation. In a questionnaire study we surveyed all German university hospitals for their experience with the implementation of computer based nursing documentation implementation. We received answers from 11 of the 23 hospitals. Furthermore we performed a questionnaire study about expectations and fears among the nurses of four pilot wards of our hospital. Most respondents stated a positive attitude towards the nursing process documentation, but many respondents note technical (e.g. bad performance of the software) and organizational barriers (e.g. lack of time).","Barriers, Implementation, Nursing Process Documentation, NIS, Germany"
,,,Clinical Documentation Improvement for Outpatients by Implementing Electronic Medical Records,Ryoma Seto,Toshitaka Inoue and Hiroshi Tsumura,"This observational study was conducted before and after implementing an electronic medical record (EMR) system to evaluate the change in outpatient workflow by implementation of EMR and the effectiveness of clinical documentation improvement (CDI). The number of hours for patient care increased by 89.2% (p<.05) and the hours for writing medical records after consulting decreased after implementation of EMR by27.3% (p<.01). Implementation of EMR reduced nurses’ workload to handle medical records by 78.8 (p<.05) but not changed for physicians. The necessary change in the 
information management process occurred after using the CDI indicator. We recommend that the “working hours of health professionals” and “handling hours for information resources” should be used widely as CDI indicators to improve workflow when implementing EMR. ","Electrical Medical Records (EMR), Clinical Documentation Improvement (CDI), Staff Workloads"
,,,Promoting Meaningful Use of Health Information Technology in Israel: Ministry of Health Vision,Ayala Gerber,Maxim (Max) Topaz,"The Ministry of Health (MOH) of Israel has overall responsibility for the healthcare system. In recent years the MOH has developed strong capabilities in the areas of technology assessment and prioritization of new technologies. Israel completed the transition to computerized medical records a decade ago in most care settings; however, the processes in Israel was spontaneous, without government control and standards settings, therefore large variations among systems and among organizations were created. Currently, the main challenge is to convert the information scattered in different systems, to organized, visible information and to make it available to various levels in health management. The MOH's solution is of implementing a selected information system from a specific vendor, at all the hospitals and all HMO's clinics, in order to achieve interoperability. The sys-tem will enable access to the patient's medical record history from any location.","Ehealth, ICT, OFEK"
,,,The Impact of Electronic Health Records on Client Safety in Aged Care Homes,Tao Jiang,Ping Yu,This study collects and critically reviews the published literature to synthesize the risk factors for client safety in residential aged care and the potential contributions of electronic health records to reducing these risks. Three major types of risk factors for client safety were identified: risk factors related to the person’s health; those related to the health and aged care system serving the person and those related to human error. Multiple strategies at all levels of an aged care organization are needed to reduce risks and improve client safety. Electronic health records can be one of the effective organizational mechanisms because it improves access to better information and integrates intelligent functions to support point-of-care decision making.,"Electronic health records, EHR, nursing documentation, patient safety, risk, residential aged care, long term care, nursing home"
,Citizen Activation Through eHealth,,Mockup Design of Personal Health Diary App for Patients with Chronic Kidney Disease,Hsiu-Wen Lin,"Yu-Jen Wang, Ling-Fang Jing and Polun Chang","Health self-management is important in the care of patients with chronic kidney disease. It is possible to improve the efficiency of patient self- management through the use of mobile technology and related software. This study is divided into three stages: 1. analysis of need: through observation, interview and content analysis of the chronic kidney disease health management manual; 2. design of system prototype: establish interface and system function; 3. prototype evaluation: evaluate whether the prototype designed by this study meets user needs. The system prototype includes: daily record, laboratory examination results, trend graphs, information search, sharing, communications and settings. Prototyping is done with Pencil Project for interface design and linking. The prototype is then exported in PDF format for mock-up simulation. Evaluation results: overall score was 4.01±0.60 leaning towards “agree”, the highest score was ease of use (4.25±0.6), followed by easy to learn (4.15±0.68), acceptance (4.01±0.61), reliability (3.87±0.6) and functionality (3.83±0.49). The results show positive attitude towards the system.","Mockup design, personal health diary, chronic kidney disease"
,,,Appreciating the Persona Paradox: Lessons from Participatory Design Sessions with HIV+ Gay Men,Jae-Yung Kwon,J. Craig Phillips and Leanne M. Currie,"Eliciting user requirements from HIV-positive gay men who smoke can be challenging. This is because of the complex relationship between social stigma and gender identities (e.g., gay, masculine, HIV+, and smoking status). Inspired to engage HIV-positive gay men in the development of a web-assisted tobacco intervention, we used personas as a main communication tool in our participatory design sessions. Personas are characters created by users that embody part of their own behaviours, thoughts, and motivations. In an apparent paradox, this article is a description of how the use of personas to ensure less realistic self-representation provided an impetus for more self-disclosure. Findings and feedbacks from this study reveal that personas are an effective design tool to engage users in sensitive topics. Implications for future work are also discussed.","Personas, design tools, participatory design, HIV positive gay men"
,,,Development of an Electronic Instruction System to Promote Multidisciplinary Teams,Yumiko Uto,"Fuminori Muranaga, Takashi Iwaanakuchi and Ichiro Kumamoto","While the provision of medical care incorporating safety measures, etc. that can earn the trust of the people, patients in particular, is required, the content of instruction is diverse, complex and rapidly increasing in volume along with the sophistication and specialization of medical care. However, until now, the development of electronic instruction systems has lagged behind in the development of HIS.All instructions must be linked to orders and the input of the implementation of instructions in the electronic instruction system incorporated into medical accounting. The system must aim at integrating physician and nursing records and be of a specification that can ensure reliability and efficiency. We report on the efforts at Kagoshima University Hospital to systematize instruction in order to promote multidisciplinary teams.","Instructions, information system, hospital"
,,,"Exploring Factors Related to the Adoption and Acceptance of an Internet-Based Electronic Personal Health Management Tool (EPHMT) in a Low Income, Special Needs Population of People Living with HIV and AIDS in New York City",Michelle Odlum,"Peter Gordon, Eli Camhi, Esmerlin Valdez and Suzanne Bakken","Access to personal health information assists efforts to improve health outcomes and creates a population of active and informed health consumers. Understanding this significance, Healthy People 2020 retained, as a Focus Area, the need for improved interactive Health Communication and HIT. Attainment of this goal includes increasing the use of Internet-based electronic personal health management tools (EPHMT). Health information management, essential for favorable health outcomes, can be problematic in low income, special needs populations with complex chronic illnesses such as HIV/AIDS. Furthermore, barriers to the adoption and acceptance of an EPHMT in such populations have not been well explored. The current study seeks to explore the usability of an EPHMT entitled MyHealthProfile and to identify perceived health information needs in a vulnerable population of people living with HIV and AIDS (PLWH) that have access to an EPHMT through their Medicaid Special Needs Plan.","Health Information Technology, HIV/AIDS, special needs population"
,Leading uCare Safely,,Evaluation of Use of Electronic Patient Controlled Analgesia Pumps to Improve Patient Safety in an Academic Medical Center,Kumiko Ohashi,"Patricia Dykes, Kathleen McIntosh, Elizabeth Buckley, Catherine Yoon, Carol Luppi, Anne Bane and David W. Bates","Patient controlled analgesia (PCA) and Patient-controlled epidural analgesia (PCEA) pumps are methods of pain control with complex smart infusion devices and are widely used in hospitals. Smart PCA/PCEA pumps can be programmed with the dose and rate of medications within pre-set ranges. However, adverse effects have been reported associated with these pumps’ use. In this paper, we describe a prevalence observational study where observers used an electronic data collection tool to record pump settings and medications with PCA pumps, corresponding medication orders to identify errors. The results showed that there were many labeling and tubing change tag errors, which were a violation of hospital policy. A few potential harmful medication errors were identified but no critical errors. Study results suggest the importance of a standard process of PCA pump use. Next steps include implementing a safety bundle for improving PCA practice to support safe and effective pain management.","Smart pump, smart infusion pump, patient safety, patient controlled analgesia, patient controlled epidural analgesia"
,,,Evaluation of Ambient Assisted Living Interventions ? Which Tool to Choose?,Elisabeth Østensen,"Ingrid Svag?rd, Anne B. Fossberg and Anne Moen","This paper discusses suggested evaluation frameworks’ appropriateness for a study introducing Ambient Assisted Living (AAL) interventions. Specifically, we look at how well proposals cover these dimensions: impact on society, impact on professionals, and impact on patients. We discuss three widely used approaches for such assessments: RE-AIM, MAST, and UTAUT. Our assessment showed careful selection of elements from all three models seems needed to sufficiently cover the dimensions. RE-AIM provides a broad framework; MAST adds aspects of transferability and ethics, and UTAUT adds perception of technology and future use. All these approaches lack pivotal aspects concerning inclusion of patients’ or citizens’ point of view in a study’s planning phase. To ensure rigor and include meaningful use from citizens’ perspective, we added these aspects to our study.",Technology Assessment; Quality Assurance; Health Care; Informatics; Evaluation Studies as Topic
,,,"Building a Common Ground on the Clinical Case: Design, Implementation and Evaluation of an Information Model for a Handover EHR",Daniel Flemming,Mareike Paul and Ursula H?bner,"Handovers need a common ground on the clinical cases between the members of the successive shifts to establish continuity of care. Conventional electronic patient record systems (EHR) proved to be only insufficiently suitable for supporting the grounding process. Against this background we proposed a basic concept for a handover EHR that extends general EHRs in particular openEHR based systems. The resulting handover information model was implemented in a database and evaluated based on 120 clinical cases. The information items of these cases could be mapped successfully to the model, however, the new class “anticipatory guidance” needed to be introduced. The evaluation also demonstrated the importance of highly aggregated information on the clinical case, opinions and meta-information such as the relevance of an item during handovers. Based on these findings, in particular the handover database, handover EHR applications are currently developed to support the grounding process.","Handover, electronic health record, communication, common ground"
,,,Improving the Coordination of Patients’ Medication Management: A Regional Finnish Development Project,Eija Kivek?s,"Irmeli Luukkonen, Juha Mykk?nen and Kaija Saranto","In this paper, we present an overview of activities and results from a regional development project in Finland. The aim in this project was to analyze how healthcare providers produce and receive information on a patient’s medication, and to identify opportunities to improve the quality, effectiveness, availability and collaboration of social and healthcare services in relation to medication information. The project focused on the most important points in patients’ medication management such as home care and care transitions. In a regional development project, data was gathered by interviews and a multi professional workshop. The study revealed that medication information reached only some professionals and lay caregivers despite electronic patient record (EPR) systems and tools. Differences in work processes related to medication reconciliation and information management were discussed in the group meeting and were regarded as a considerable risk for patient safety.","Medication management, regional development project, work process"
,Infrastructures to Support Big Data,,Representing Nursing Guideline with Unified Modeling Language to Facilitate Development of a Computer System: A Case Study,Jeeyae Choi,Jeungok E. Choi,"To provide best recommendations at the point of care, guidelines have been implemented in computer systems. As a prerequisite, guidelines are translated into a computer-interpretable guideline format. Since there are no specific tools to translate nursing guidelines, only a few nursing guidelines are translated and implemented in computer systems. Unified modeling language (UML) is a software writing language and is known to well and accurately represent end-users’ perspective, due to the expressive characteristics of the UML. In order to facilitate the development of computer systems for nurses’ use, the UML was used to translate a paper-based nursing guideline, and its ease of use and the usefulness were tested through a case study of a genetic counseling guideline. The UML was found to be a useful tool to nurse informaticians and a sufficient tool to model a guideline in a computer program.","Knowledge representation, Unified Modeling Language, Guideline, Ease-of-use, Usefulnss"
,,,Developing the Structured Knowledge Model to Navigate the Nurses’ Thinking Process in Their Professional Judgment and Action,Satoko Tsuru,"Fumiko Wako, Miho Omori, Chitose Watanabe, Mutsuko Nakanishi and Sawako Kawamura","Authors have defined the function of the nursing observation as “monitoring the onset and course of health problems” and that of nursing action as “preventing health problems”. We have also identified three foci of the nursing observation and nursing action respectively. The foci of nursing observation are: “signs and symptoms related to the diseases”, “complications related to the invasive medical procedures such as surgery” and “adverse effects related to the pharmacotherapy”. Those of nursing action are: “nursing care to fulfill the needs arising from the diseases and the medical interventions”, “nursing care to prevent the complications”, and “nursing care to prevent the adverse effects”. Finally, we have categorized hospitalized patients’ conditions into “pre-surgery”, “postsurgery” and “rehabilitative phase” for the surgical patients and “severe”, “moderate” and “mild” for non-surgical ones. Using these frameworks, we have developed the structured knowledge model for a number of diseases and medical interventions.","Knowledge, quality assurance, patient care management, nursing informatics, structured knowledge, thinking process, professional judgment"
,,,FinCC and the National Documentation Model in EHR ? User Feedback and Development Suggestions,Ulla-Mari Kinnunen,"Kristiina Junttila, Pia Liljamo, Anna Liisa Sonninen, Mikko H?rk?nen and Anneli Ensio","The structure of the Finnish nursing documentation model is based on the decision-making process and a standardized nursing terminology: Finnish Care Classification (FinCC). Nearly 20,000 nurses use the FinCC although not all healthcare organizations utilize it. Development projects for the common national nursing documentation framework have been carried out, for example, in 2010? 2011 the aim of a project by the Ministry of Social Affairs and Health and the National Institute of Health and Welfare was to suggest recommendations for the Finnish nursing documentation model. The final report of the project was sent to different organizations all over the country for further feedback statements. The aim of this paper is to summarize the message of the statements (n=37) from primary and specialized care, universities including universities of applied science, professional nursing associations, trade unions and national authorities. Development suggestions for the FinCC and electronic health records will be introduced.","Electronic health records, nursing records, terminology as topic"
,,,An Integrated Approach to Safety-Driven and ICT-Enabled Process Reengineering: Methodological Advice and a Case Study,M. Langer,"R. Castellari, P. Locatelli, E. Sini, M. Torresani, R. Facchini and R. Moser","Patient safety is a central concern inside any healthcare environment. With the progress of Information and Communication Technologies (ICTs), new solutions have become available to support care and management processes. Analyzing process risks helps identifying areas of improvement and provides ICT-solutions design with indications on what portions of the process need primary interventions. Understanding the link between process reengineering, technology assessment of enabling technologies and risk management allows user acceptance and patient safety improvements. Fondazione IRCCS Istituto Nazionale dei Tumori (INT), offers a good example of process reengineering driven by the purpose of increasing patient safety, enabled by new technologies. A pillar of the evolution of ICT process support at INT is based on Radio Frequency Identification technologies, implemented to identify and trace items and people across processes. This paper will present an integrated approach, based on process reengineering methodologies and risk assessment studies, and methodological advice applied to a case of surgical kits management procedures.","Surgical kit, patient safety, risk management, eHealth, traceability, RFId, AIDC, H-FMEA"
,Designing Telehealth Systems to Support eCare,,Collaborative Software Development for a Brazilian Telehealth Program,Luiz M.P. Sanches,"Marcelline R. Harris, Patricia A. Abbott, Magdala A. Novaes and Maria H.B.M. Lopes","Telehealth services in the State of Pernambuco, Brazil are led by the Telehealth Center (RedeNUTES) and based on HealthNet 2.0 software. Among the tele-assistance services, health professionals have clinical discussions focused on second opinions. This paper reports the experience in a PhD study through mixed-methods, to evaluate the telehealth services, planning and modeling a new tool to improve a telehealth system. We described the nurse's role in each phase of this study. The method of User-Centered Design was explored in three phases as Identification of work process, User’s perception and collaborative modeling, Observational usability study. The main frame was based on collaborative techniques as Collaborative Prototype Design Process, cognitive walkthrough, and thinking-aloud. The users also identified all usability problems identified by the evaluators. The methods were useful in identifying usability problems, and easy to employ using standard equipment and software thus a relatively low cost approach to usability testing.","telehealth, software designs, group processes"
,,,"Development and Implementation of IT Require Focus on User Participation, Acceptance and Workflow",Ina Koldkjær Sølling,Per Carøe and Kirsten Siggaard Mathiesen,"The study ”Online Care” follows a municipal project ”Online Welfare” where a nurse’s presence in the citizen's own home was replaced by online communication. The paper is based on a citizen’s perspective and seeks to develop meaningful workflow for the benefit of citizens with medical problems. The study examines five citizens’ opinions on whether online communication in a meaningful way supports the citizens in what they associate with a good life. In addition, relatives and the citizen’s nurse were interviewed individually concerning the same issues as the citizens. The study has been approved by the Danish System of Ethics in Science and is conducted in collaboration with Aalborg University, Aalborg Municipality and DanAge, (NGO). The municipality's goal of efficiency and financial savings regarding ”Online Welfare” was not honored due to insufficient network infrastructure and technical problems. An adoption barrier was that the municipality did not determine the efforts and the goal of the project, who could benefit from participating and the requirements of the professionals and the organization including ethical considerations.It was difficult to find citizens who were willing to participate. Citizens, who were included in the study accepted and adopted the technology however, ""Online Welfare"" could not replace the care they used to receive. Therefore, the offer was perceived as an ""appendix"" which tended to meaninglessness by some of the citizens.The nurses' perception of nursing care and their limited IT skills was a barrier to acceptance, adoption and development of technology opportunities in nursing. The citizens’ disability, the screen appearance, and the technology setup meant that the citizens perceived poor usability of the equipment. The study showed a change in workflow, as the cooperation between the citizen and the professional developed. New roles occurred for the professionals.The citizens had many ideas concerning the development of the technology and the study recommends that users are involved in the development and implementation of welfare technology and telemedicine. The relatively small sample size of the study shows findings that must be clarified by further research.","Home Nursing, Home Care, Online Care, Telemedicine, Online Communication, Workflow, Acceptance"
,,,Leadership Strategies for Improved Nursing Synergy Between Informatics and Telehealth,Claudia C. Bartz,,"The goal of best practice, best possible health care worldwide is shared by nurses and all involved with eHealth today. The purpose of this paper is to characterize the similarities and differences between informatics and telehealth from a nursing perspective, and to advocate for leadership strategies that would bring the strengths of each group to a more synergistic, collaborative professional model for the benefit of both groups. After comparing telehealth and informatics nursing and looking for commonalities, suggestions are made for bridging the gap between the two groups. Potential strategies include identifying leaders, using conflict avoidance techniques, and pursuing coaching and mentoring opportunities across the gap to enhance the professional standing and contributions of both groups. An added consideration would be to have joint conferences wherein the strengths, challenges and knowledge repositories of informatics and telehealth could be mutually appreciated.","eHealth, leadership, collaboration"
,,,Toward an Integrated Health Data Display for Aging in Place,Yang Gong,Arpita Chandra and Jing Wang,"In a typical aging-in-place setting, electronic medical record, telemedicine data, and sensor data are used by different groups of decision makers, but the data may not be viewed in a holistic display to promote clinical decision making. Employing a user-centered design and evaluation framework, we analyzed relational data displays of congestive heart failure and provided an in-depth description of user characteristics, preferences, systems functionality, basic tasks and effective representations in such an information distributed setting. As a result, the prototypical design demonstrates our effort toward an integrated data display for chronic disease management in long-term care and clinical decision support which would enhance aging in place.","health data display, aging in place, electronic medical record"
,Mobile Healthcare,,Developing and Testing a Mobile Application Programme to Support Self-Management in Patients with Stable Angina: A Feasibility Study Protocol,Wenru Wang,Sally Chan and Hong-Gu He,"This study aims to develop and test the feasibility of a 12-week Mobile Application Programme (M.A.P.) to support self-management in cardiac patients with stable angina. A Mobile Application Programme will be developed by the study team. A pilot randomized controlled trial will be adopted to examine the feasibility and potential effectiveness of the M.A.P.. A convenience sample of 40 stable angina patients recruited from the National University Heart Centre will be randomly assigned either to the 12-week M.A.P. intervention group or the control group. Data will be collected at baseline, at the 4th and 12th week of the programme. At the end of the intervention period, a process evaluation will be conducted to further assess the acceptability, usability, strengths and weaknesses of the M.A.P. intervention based on the participants’ perspectives. All quantitative data obtained will be analysed using IBM SPSS 21.0, while content analysis will be used for qualitative datasets.","Mobile application programme, home-based, self-management, stable angina, study protocol"
,,,The National Mobile Health Worker Project in England,Kathryn Drayton,Karen Robinson,"Community services provide essential care to many, often vulnerable, people, families and communities along the spectrum from health promotion to end of life care. The Mobile Health Worker Project is part of a larger project, the Transforming Community Services programme, which was established to support providers make changes to service provision that would provide better health outcomes, as well as increasing efficiency through the use of technology. This paper draws on the results of the two phase Mobile Health Worker project which involved 11 sites around England, the aim of which was to understand the requirements of mobile working. The results demonstrate that increased productivity and efficiency can be achieved by making changes to working processes. The project also provides guidance to increase the rate of mobile working adoption by providing a solid economic basis for investment in and deployment of mobile solutions to community organisations.","Community-based care, m-health, service delivery, efficiency"
