년도,분류,형태,제목,1저자,공저자,초록,키워드
,"Education, Competencies, Capacity Building",Paper,Undergraduate Student Nurses’ Use of Information and Communication Technology in Their Education,Michelle Honey,,"Students expect to use technology in their study just as they use technology in other aspects of their life. Technology is embedded in the day-to-day work of nursing, and therefore needs to be integrated in education to prepare students to assume professional roles and develop skills for lifelong learning. A quantitative descriptive study, using an anonymous survey, explored how undergraduate student nurses from one New Zealand school of nursing, access information and communication technologies for their learning. In total 226 completed questionnaires were returned (75%). Nearly all students (96%) have smart phones, all students have a computer and 99% use the university learning management system daily or several times a week. The search engine most commonly used to find information for assignments was Google Scholar (91%), with only 78% using subject specific academic databases. Implications from this study include the need for charging stations and further education on information searching.","New Zealand, Surveys and Questionnaires, Educational Technology"
,,Paper,Video Review System for Sharing Tacit Knowledge of Clinical Nursing Practice,Yukie Majima,"Yasuko Maekawa, Kayoko Hirano, Takami Inotani, Takako Izumi, Satoshi Shimada and Atsushi Ishigame","Nursing practice conducted in a clinical setting remains within the facility, giving no opportunities to be shared widely. This study was conducted to record practical knowledge of clinical nursing, to build a video database for nursing skills education to share that knowledge, and to assess the systematic operation of such a database. We conducted pilot practice for simplified creation of teaching material contents and for evaluation of the Saei system operation. Saei means “to scrutinize self-made videos”. In Saei, as regular submissions for academic journals, we presupposed that nursing skill videos of one’s own creation would be submitted to make them available to others. We assumed that the skill videos to be submitted are “mainly video manuals for nursing or medical care skills, recognized their safety and reliability, and shot to be a reference for clinical nursing, nursing skills training and nursing education using methods to satisfy ethically considered Nursing Art”. This report describes relevant results.","Professional competence, nursing education, professional development"
,,Paper,Development of Teaching Materials of Dementia by Incorporating a Communications Robot for Schoolchildren Who Are Dementia Supporters,Kotoka Murashima,"Yukie Majima, Seiko Masuda, Yumiko Nakamura and Kaori Fukayama","In this study, we aimed to teach elementary school students how to practically deal with elderly people with dementia and developed and evaluated teaching materials using a communication robot called Pepper. The teaching material used the robot to model representative symptoms seen in elderly people with dementia in a realistic context. We applied the two principles of Merrill’s first principle and the ARCS model to achieve learning objectives and sustain learning motivation. Furthermore, to verify the effectiveness of the teaching materials, we conducted a questionnaire survey on five experts in community welfare. As a result, it was speculated that by using Pepper, motivation for learning increases and learning can be effectively accomplished. In the future, we aim to introduce the function to the teaching materials based on the evaluation and introduce it to kids’ dementia supporter training course.","Dementia, Children, Education."
,,Paper,Design and Implementation of a Robotic Software for the Assessment of Pain in Children,Florentino Nieto Franco,,"Pain in child population is presented as a vital process which produces a variation in capacities and needs of care. That pain has an impact on the child’s develpoment and therefore on his self-care agency acquisition. That is why the care provided to people with these characteristics are presented as a priority for the nursing professional. From a disciplinary framework, the nursing professional appears as a figue with knowledge for the development of new technological tools (such as robotics) to treat pain in children. In this way, a robotic system that incorporates a program for the assessment of pain in children has been designed using deductive methodology and guided by Software Requirements Specification ANSI/IEEE 830. Finally, this robotic system was implemented according to the construction phases of an Expert System.","Pain, Nursing Care, Robotics."
,,Paper,Informatics Essentials for DNPs,Melinda L. Jenkins,,"Doctor of Nursing Practice (DNP) programs are proliferating around the US as advanced practice nursing programs evolve to build capacity by adding content on professional leadership, policy, and quality improvement to the traditional clini- cal content. One of the eight “Essentials” for DNP education is “Information systems/technology and patient care technology for the improvement and transformation of health care.”[1] A required graduate course was revised and updated in 2017 to provide a foundation in clinical informatics for DNPs, as well as for nursing informatics specialists. Components of the online course, assignments, and free online resources linked to the DNP Essentials are described in this paper.","Quality Improvement, Education, Information Technology"
,,Poster,Developing Nursing Informatics Competencies for Future Nursing Leaders: An Overview of an Internship and Learning Plan,Gillian Strudwick,Sheldon Hubert and Margaret Gehrs,"This poster will provide an overview of an internship and learning plan designed to support the development of relevant competencies for future nursing leaders. The internship activities were determined based on a learning plan to support the development of knowledge and skill from two informatics competency frameworks, and occurred over a period of six months. The intern engaged in a variety of projects, activities, and self-directed learning, which will be described in the poster.",Nursing informatics; professional competence; leadership
,,Poster,Learning Clinical Assessment and Interdisciplinary Team Collaboration in Primary Care. MOOC for Healthcare Practitioners and Students,Lene Lunde,Anne Moen and Elin O. Rosvold,"Novel ways to build sufficient capacity to meet the need for competent healthcare providers in primary care are in strong demand. We developed a massive, open, online course (MOOC) to introduce and promote clinical skills development for healthcare workers (physicians, nurse practitioners, nurses, and nurse aids) and students in healthcare education (medical students and master and bachelor students in nursing) focusing on systematic health assessment and strengthening clinical decision making in primary care. Results from the pilot supports that the MOOC was relevant and highly useful for the participants, and has potential to contribute to interdisciplinary collaboration and discussions.","Primary healthcare, patient care management, educational technology"
,,Poster,Development of e-Learning System for Nurses to Learn Medical English and Chinese Conversation,Yumiko Nakamura,Yukie Majima and Kaori Fukayama,Globalization has brought an increase of non-Japanese residents in Japan; it has been urgent for nurses to improve conversational skills. We designed and developed an e-learning system for nurses to learn medical English and Chinese conversation. The teaching materials were created as a video including conversations in a hospital in English and in Chinese between a patient and a nurse. Subtitles are shown and read out twice in English and Chinese and once in Japanese.,"Internationality, language, communication, Japan"
,,Poster,Virtual Teaching Materials Developed for Elementary School Students to Foster Support Capabilities for Elderly People with Dementia,Seiko Masuda,Kotoka Murashima and Yukie Majima,"We created teaching materials for elementary school students to foster their ability to understand and support elderly people correctly, including those with dementia, without prejudice . Pediatric awareness education by DVDs can positively capture the elderly with dementia, but it was difficult to learn in practice. There, Slide materials designed to encourage positive understanding of elderly people were used together with a Pepper to increase participants’ interest material. Results suggest that simultaneous use of the slide materials and a Pepper maintains participants’ interest and promotes understanding of elderly people, including those with dementia.","Dementia, Communication Robot Pepper , Elementary school children"
,,Poster,"Electronic Library of Instituto Superior Polit?cnico de Malanje, University Luije A’Nkonde in Angola Popular Republic",Yoadis Cuesta Garc?a,,The poster presents qualitative research orientated to develop the electronic library to support the learning process at Instituto Superior Polit?cnico de Malanje in Angola. The logical methods was used to analyse diversities educationals sources. All the bibliographies were saved into a Management Content System. Resources like software and videos have been developed for use in the physical library of this institute.,"Management Content System , Electronic library."
,,Poster,Information Literacy in Nursing Students of Fes Zaragoza Unam,Ana S?nchez G.,"Beatriz Carmona M., Edgar P?rez O. and Ma. del Socorro Garc?a V.","In an exploratory quantitative study,information literacy was analyzed in first-year students of the nursing program at the Facultad de Estudios superiores Zaragoza UNAM. A sample of 150 students completed, a validated scale that consisted of 8 categories and a total of 110 items. The average score obtained was 2.11, which places them in a ‘low knowledge’ category of information literacy.","information literacy, nursing."
,,Poster,Developing Mobile Support System for Augmented Reality in Clinical Constraint Teaching,Wei Kai Weng,Han Jen Hsu,"It’s always been a big topic how to improve the efficiency of education. Reply teaching and image teaching had always performed better than text book. Furthermore, adapting AR technology will be a great add-on to reinforce it. That’s the main purpose of this project.","teaching, educational technology, virtual reality exposure therapy"
,,Poster,Mobile Augmented Reality as Usability to Enhance Nurse Prevent Violence Learning Satisfaction,Han-jen Hsu,"Wei-kai Weng, Yung-lang Chou and Pin-wei Huang","Violence in hospitals, nurses are at high risk of patient's aggression in the workplace. This learning course application Mobile Augmented Reality to enhance nurse to prevent violence skill. Increasingly, mobile technologies introduced and integrated into classroom teaching and clinical applications. Improving the quality of learning course and providing new experiences for nurses.","Mobile Augmented Reality, Violence in Hospitals, Nursing Educatio"
,,Poster,Needs Assessment and System Design of Nursing Information Operation Simulation Learning System,Mei-Ling Lin,"Shwu-Fen Chiou, Shin-Shang Chou and Chieh-Yu Liu","This study explored needs and content of nursing information simulation learning system for different nursing staff levels. A questionnaire survey method was conducted in this study. A total of 300 clinical instructors and new nurses were recruited from a medical center through purposive sampling. The results show the core framework of a learning system includes five objectives. The mean scores of the five objectives of clinical instructors all were higher than the new nurses. These findings can serve as a reference for the design framework and system functions, and will function as an important learning resource.","Nursing Information Operation System, Simulation learning system, System requirements analysis"
,,Poster,Information Completeness and Consistency of Inpatient Fall-Event Reports,Jihye Kim,"Insook Cho, Ahra Yoo, Jisun Chae and Miran Jung","Reporting system need to correctly classify information about adverse clinical management events to develop preventative and corrective strategies. We investigated the completeness and consistency of the data, collected using the fall-event reporting system of a hospital, to understand the strengths and weaknesses of the current system.","Event-reporting system, accidental falls, hospitals, inpatients"
,,Poster,Analysis of a Locally Controlled Vocabulary in an Electronic Health Records for Evidence-Based Inpatient Fall-Prevention Care,Jisun Chae,"Insook Cho, Ahra Yoo and Yeonhee Kim","A local controlled vocabulary provides a way to organize nursing documentation in electronic health record systems. However, a such vocabulary may not be always linked to standard nursing terminology or standard content. We explored a local nursing vocabulary set used in inpatient fallprevention care at a large academic hospital with the aim of identifying if the standard nursing care was covered.","Electronic nursing records, inpatient falls, local vocabulary"
,,Poster,Nursing Informatics Training in Undergraduate Nursing Programs in Peru,Daniel F. Condor,Katherine Sanchez Alvarez and Austin A. Bidman,"Nursing informatics training has been progressively developing as a field in Latin America, each country with diverse approaches to its implementation. In Peru, this process has not yet taken place, so it is necessary to determine how universities are performing in this regard. We conducted a search to describe if universities provide training in computer nursing or similar. There are 72 universities offering professional nursing training, with only 24% of these providing any specific course in nursing informatics. Training undergraduates in nursing informatics improves the skillset of licensed nurses.","Nursing education, Nursing informatics, Curriculum."
,,Poster,Building Capacity in Student and Emerging Nursing Informatics Professionals Through Participation in an International Community of Practice,Lorraine Block,"Laura-Maria Peltonen, Charlene Ronquillo, Adrienne Lewis, Raji Nibber, Lisiane Pruinelli and Maxim Topaz","In nursing, a community of practice have been recognized as an important construct to build capacity and support knowledge dissemination activities. The purpose of this poster is to use a community of practice framework to describe the collaborative work of an international nursing informatics, graduate student and emerging professional group.","Nursing Informatics, Capacity Building, Students"
,,Poster,Undergraduate Student Nurses’ Functional Requirements for e-Portfolios: A Qualitative Research Study,Chi-Ping Chang,,The advantages of e-portfolios when may assist schools in constructing teaching tools better suited to professional clinical education thereby enabling students to acquire clinical competency and the confidence to practice. The purpose of this study was to investigated senior nursing students’ e-portfolio the needs and perceptions of student nurses regarding the use of e-portfolio in the Last Mile practicum course.,"e-portfolio, interviews, Last Mile practicum course, undergraduate student nurse."
,,Poster,Interprofessional Informatics Curricula: A Literature Review,Jillisa Byard,Leanne M. Currie,The aim of this literature review was to examine evidence related to interprofessional informatics education to support the design of an interprofessional informatics curriculum. Main themes from a total of twelve articles were synthesized and included use of technologies such as academic electronic health records; faculty enablers; curriculum implementation barriers; and student outcomes of current IP informatics education.,"Informatics, education, Interprofessional relations"
,,Poster,"Nurses’ Experiences and Perceptions of Mobile Learning: A Survey in Beijing, China",Qian Xiao,"Aihua Sun, Yicong Wang, Yan Zhang and Ying Wu","To explore nurses’ experience and perceptions toward mobile learning, 397 nurses were investigated. All of them used mobile learning in the past one year through internet, e-books and WeChat. Smartphones were the most used mobile learning tools, followed by a tablet and laptop computer. The mean score of nurses' intention towards mobile learning was 12.1 (ranged from 7 to 15), and it related to nurses’ gender, education background, expected effect, ease of operation, selflearning management and perceived interest. Nurses had positive perception toward mobile learning and enough conditions to promote nurses' mobile learning should be provided.","Experience, Intention, Mobile learning, Nurses"
,,Poster,Digital Game-Based Learning: A Didactic Experience in the Pre-Degree Nursing Career,A. Sol?s de Ovando,A. Rodr?guez and C. Hullin,"Nowadays we are faced with a society immersed in globalization and native technology, causing a great challenge in the university teaching staff. The gamification, as teachinglearning didactic methodology, gathers the characteristics that allow to motivate and achieve an active and significant learning. The objective of this work is to show the experience of the nursing career, which combines the learning based on games and the use of digital applications.","Kahoot, Formative assessment, Game-based learning, Nursing"
,,Poster,Clinical Simulation in Nursing: A Scale to Evaluate Satisfaction and Self-Confidence in Learning,Vanessa Jara Jara,Carolina Sambuceti N??ez,"The clinical simulation is a university educational proposal that exposes the student to contexts similar to real situations, using technological innovation. The objective of this project is to translate and validate the Spanish version of the Satisfaction and Self-confidence in Learning Scale of the National League for Nursing (NLN). The method proposed is rigorous and academic translation, validation by expert judges in nursing and statistical validation of this scale. It is expected to obtain a validated instrument that will effectively and systematically measure satisfaction and self-confidence in the learning of nursing students, by using simulation technologies.","Clinical Simulation, satisfaction, self-confidence"
,,Poster,The Study of Nursing NAVI® in Midwifery Students’ Partogram for 170 Labors,"Y. Iwao, S. Tsuru",M. Omori and M. Inoue,We have examined the nurses’ thinking process in their professional judgment and action in the Partogram of 170 labors by 17 Midwifery students in 2 years.,"Nurses’ thinking process, Partogram"
,,Poster,"The Development of Health Information Website: Construction, Content, and Service",Hanna Choi,Meiling Jin,"This study explored the development of health portal in keeping with the rapidly changing web environment and consumer needs. 17 representative health portals (US, UK, Australia, Korea) in services and content characteristics compared with three years ago. As a result, it is noticeable that ‘mobile application utility’ increases for services method, ‘PHR’ provision in public health website increases for the contents, ‘the moving contents’ increase for the service, and the updating ‘renewal date’ increases for the structural characteristics.","Health information, Consumer, Website"
,,Paper,A Framework Facilitates Development of a Mobile App,Jeeyae Choi,"Elizabeth Baker, Swanand Nalawade, Anna Peacock, Hanjoo Lee and Woo Jung Choi","Due to the advance of mobile technology, use of mobile devices such as smartphones has been growing rapidly in the U.S. and worldwide. Many health related mobile apps have been developed for care professionals and patients as well. However, studies indicate that there is a gap between science and commercially developed mobile apps. In addition to this, there is no framework to guide devlopment of a mobile app to overcome many challenges and obstacles. Through the development of a pain management mobile app for cancer patients, a framework was developed. A proposed framework was based on the technology acceptance model, ensuring usefulness and ease of use for end users. The first two steps in the framework enforce accurate knowledge translation and communication to build a science based mobile app. Iterative decisions points between steps enhance accomplishment of each step.","Framework, Mobile app, Knowledge translation"
,"Point of Care Solutions, Models and Devices",Paper,Assessment of Evaluation Frameworks for Design of a Sexual Risk Prevention Game for Black Adolescent Girls,Paulina Sockolow,Meredith Joppa and Jichen Zhu,"Adolescent sexual risk behavior (SRB), a major public health problem affects urban Black adolescent girls increasing their health disparities and risks for sexually transmitted infections. Collaborating with these adolescents, we designed a game for smartphones that incorporates elements of trauma-informed care and social cognitive theory to reduce SRB. Game researchers promote use of a comprehensive, multipurpose framework for development and evaluation of games for health applications. Our first game development step was framework selection and measurable health outcomes identification. Literature search identified two health game frameworks, both incorporating pedagogical theory, learning theory, and gaming requirements. Arnab used the IM + LM-GM framework to develop and implement a game in a school intervention program. Yusoff’s framework was developed for use during game design. We investigated concordance and discordance between our SRB game design characteristics and each framework’s components. Findings indicated Arnab’s framework was sufficiently comprehensive to guide development of our game and outcome measure selection.","Adolescent behavior, adolescent, adverse childhood experience, mHealth application, software design, trauma informed care, Nursing Informatics."
,,Paper,Usability Testing of a mHealth App to Support Self-Management of HIV-Associated Non-AIDS Related Symptoms,Samantha Stonbraker,"Hwayoung Cho, Gabriella Hermosi, Adrienne Pichon and Rebecca Schnall",Mobile health (mHealth) applications (apps) are uniquely poised to offer the information that persons living with HIV (PLWH) need to manage the symptoms associated with their chronic condition. The purpose of this study was to assess the usability of a mHealth app designed to help PLWH self-manage the symptoms associated with their HIV and HIVassociated non-AIDS (HANA) conditions. We conducted a heuristic evaluation with five experts in informatics and enduser testing with 20 PLWH. End-users completed the PSSUQ and Health-ITUES validated measures of system usability. Mean severity scores for the 10-item heuristic checklist completed by experts ranged from 0.4?2.4. End-users gave the system high scores on the PSSUQ and Health-ITUES usability measures (mean 2.23±0.83 and 4.24±0.62 respectively). Results indicated the system is usable and will be ready for future efficacy testing after incorporation of recommended feedback.,"Mobile Health, HIV/AIDS, self-management"
,,Paper,Application and Effect Evaluation of Infusion Management System Based on Internet of Things Technology in Nursing Work,Yuan Gao,"Dan Kong, Xiao-jie Fu and Hong-ying Pi","Discussion on the application and effect evaluation of infusion management system based on internet of things technology in nursing work. A total of 108 patients who were hospitalized and treated with intravenous infusion in November 2016 were selected as objects of study. Patients using the infusion management system for the first 3 days were the management group, and patients who used the infusion management system for later 3 days were the experimental group. The application of infusion management system based on internet of things technology optimized infusion work process, monitored infusion process in real-time. Nurses can take the initiative to master the instantaneous information in the patient's infusion process. Working mode changes from passive call to planned active scheduling, which alleviates the nurses’ pressure and improves work efficiency. The whole process closed-loop path management of the intelligent and refinement of intravenous infusion in the ward is realized.","Intravenous infusion, Infusion Management System, information technology."
,,Paper,Robotic Implementation of the Necessary Mechanism for the Human Characteristics Simulation: Approach from Self-Care Conceptual Modeling,B. Gonzalo de Diego,"S. Herrero Ja?n, E. Monsalvo San Macario, L. Madariaga Casquero, M.L. Jim?nez Rodr?guez, J.M. Santamar?a Garc?a, S.C. Ram?rez S?nchez, N. Vialart Vidal and D.F. Condor Camara","The vertiginous development of robotics, as part of the Artificial Intelligence, is currently raising its potential from the point of view of care. The purpose of the present article is the robotic implementation of a logical sequence model of the phases that happen in proper care. This requires approaching the representation and formalization of knowledge about care, what and how the care is: starting with the conceptual dissertation between life, and human characteristics, and also consider this care with the aim to lay the groundwork for Robots based on care..","Robotics, Human Characteristics, Self-Care"
,,Paper,A Qualitative Study of Internet Informational Support for Neck Cancer Patients,Ying Li,"Jin Li, Qian Zhan and Qing He","To gain insight into neck cancer patients’ supportive needs, explore patients’ acceptability and preference of function toward an eHealth application, and provide the reference of content formulation of neck cancer application. According to the phenomenological research methods, this study using semi-structured in-depth interview. There were 20 participants, among whom were 8 neck cancer patients, 5 family members and 7 care persons. According to Giorgi data analysis, meaningful content and summarizing the eHealth application module were extracted. Data were analyzed for 3 categories of needs (information, management of somatic symptoms, management of psychosocial symptoms) and 4 application functional modules (login, personal center, information support, health online community). There are some unmet needs in the supportive care of neck cancer patients. Most survivors were positive towards the proposed eHealth application and expressed that eHealth application can become an assistive tool providing supportive care services for neck cancer patients.",Neck cancer; Internet; Supportive care needs
,,Paper,Constructing an Interdepartmental Information Integration System for Discharge Planning Services,Rung-Chuang Feng,Hui-Hua Tsai and Yun-Pao Li,"Discharge planning involves providing appropriate healthcare, assistive devices, and support systems through the collaborative discussion and planning among hospital staff and clients’ family members. With seamless transition of patient care as the goal, an intelligent information platform, i.e. an interdepartmental information integration system for discharge planning services, was established. This system is connected with operating systems and clinical care workflows to connect the patient with long-term or home care medical resources. We aimed to provide an ideal healthcare model focusing on staff diligence, patient comfort, and family confidence throughout discharge, thereby achieving the healthcare targets of intelligent care and high-quality nursing.","Discharge Planning; Interdepartmental; ISBAR method (Introduction, Situation, Background, Assessment, Recommendation)."
,,Paper,Technologies to Combat Aedes Mosquitoes: A Model Based on Smart City,Geovanna Cristine de Souza Silva,"Laura-Maria Peltonen, Lisiane Pruinelli, Henrique Yoshikazu Shishido and Gabrielle Jacklin Eler","Aedes aegypti and Aedes albopictus mosquitoes are responsible for the transmission of diseases such as dengue fever, yellow fever, chikungunya fever, zika virus fever, some of which can cause irreversible central nervous system problems and death. This study investigates what technologies are being used for combatting and monitoring the Aedes mosquitoes and to propose joining these technologies into a single and complete solution using the Smart Cities concept. A search for newscasts on Google and mobile apps in app stores were performed to identify technological solutions for combat to Aedes mosquitoes. Also, a model for joint technology was proposed. Results identified the following technologies: 170 software, two sensors, two drones, one electronic device, ten mosquito traps/lures, seven biological tools, six biotechnologies, and eight chemical formulations. Technological resources and adoption of preventive measures by the population could be a useful method for the mosquito control. Examples include a georeferenced model for identification and examination of larvae, application of chemical/biological products, real-time mapping, sending of educational materials via email or social media for the population, and alerts to health professionals in the zones of combat/risk. In combination, these technologies may indicate a better solution to the current problem.","Mosquito control, Aedes, Technology."
,,student paper,Exploring Nurses’ Perceptions and Expectations Toward a BCMA Implementation Using a Mobile App and Workstations as a Change Management Strategy,Liliana Giraldo,"Bibiana Schachner, Daniel Luna and Sonia Ben?tez","The inclusion of new technologies in health, such as the 2D Codes scanning Drug Administration System (BCMA), has an impact on the perception of nurses, mainly changes in their workflow, and incorporation of mobile devices for patient care. The objective of this study is to know the perceptions and expectations of nurses regarding the implementation of BCMA. Qualitative research was conducted based on interviews with groups of nurses from different inpatient wards of the Hospital Italiano de Buenos Aires, with and without system implementation. The analysis of the interviews produced the categorization of information for future interventions and the need to create standard strategies for the effective continuity during the implementation of the project. Some determinants for the acceptance of the system by the nursing staff: the ease of use of the mobile station, the device, the nursing application and its usefulness, and high expectations about the new process.","Perceptions, nursing, medication systems"
,,Poster,Robot Utilization for Nursing Technical Support Emphasizing Nurse?Patient Synchronization,Takahito Tamai,"Yukie Majima, Atsushi Ishigame and Masaya Nakayama","Handing down nursing skills of experienced nurses to newcomer nurses is difficult. Kawano’s earlier studies have specifically examined brain wave synchronization between a nurse and patient during intravenous injection. Presumably, a good technique can be provided by inducing their synchronization. Preliminarily, we verified the use of a robot to generate mutual synchronization phenomena.","robot, nursing skills, synchronization"
,,Poster,Using Real-Time Data to Warn Nurses of Medication Administration Errors Using a Nurse Situational Awareness Dashboard,Amy A. Campbell,Todd Harlan and Matt Campbell,"Electronic Health Records (EHR) are constantly gathering an exponential amount healthcare data. Historical data is often studied to identify trends and determine the effectiveness of interventions, but rarely is Real-time data utilized to positively influence the nurse at the Point of Care. A dashboard allowing nurses to visualize their individual Near-Miss (MN) medication error risk as the needs and subsequent workload of the patients they served changed was created and piloted for 30- days. Implementation of the dashboard resulted in a 15.6% reduction of NMs.","Medication Error, Point-of-Care, Medication Systems"
,,Poster,Relevant Factors Affecting Nurse Use of a Pain Management System,Li-Ya Chen,"Shwu-Fen Chiou, Yu-Ching Sun, Mei-Lien Pan and Chieh-Yu Liu","This study aimed to explore influencing factors and predictive capability for nursing staff use of a pain management system based on the information system success model. There were three key results: Information quality is the most important influencing factor; The correlations between these factors were all positively correlated; Information quality and user satisfaction are the affect factors in predicting net benefits. These results elucidate the relevant factors affecting use of a pain management system by nurses, and can also predict system benefits.","Pain management system, Information system success model, System evaluation"
