년도,분류,형태,제목,1저자,공저자,초록,키워드
,,,Implementation and Testing of Interdisciplinary Decision Support Tools to Standardize Discharge Planning,Kathryn H. Bowles,"Diane E. Holland, Sheryl L. Potashnik","Improving transitions in care is an international priority. In acute care, this complex process starts upon admission and requires multiple interventions to appropriately transition patients from one setting to the next. Within this multi-step process are two important decision points that warrant standardization and support. Our research teams have developed decision support tools that meet this critical need. The Early Screen for Discharge Planning (ESDP) and the Discharge Decision Support System (D2S2) bring evidence based, interdisciplinary decision support to two common and important decisions. The purpose of this paper is to share information about “real life” experiences in implementing decision support covering the development and use of the tools, advising about implementation considerations, making suggestions for automating the process, and sharing findings from our recent implementation study.",
,,,Characteristics of Pioneers of Nursing Informatics: A Thematic Analysis,Ann Zievers Branchini,"Juliana J. Brixey, E.Carol Polifroni","Little has been published on the individuals and circumstances that shaped the development of Nursing Informatics. This qualitative research, through a process of concept analysis, was undertaken to shape an understanding, of the Pioneer aspect of the leaders and innovators whose work contributed significantly to the early accomplishments that framed the development of the specialty. A content analysis of the transcripts of the identified 33 Pioneers of Nursing Informatics, defined as “innovators, trailblazers and ground breakers in some area of nursing informatics” was conducted to begin to define relevant concepts. The large data set was coded and themed in an iterative, inductive fashion. Four overall themes emerged from the research, including: Envisioning, Forging, Tinkering, and Swarming. The presentation will describe the themes and offer narrative textual examples of each theme. Future research will use this analysis to create a theory of nursing leadership.",
,,,Nursing Care: Use of Digital Learning Objects with Chronic Illnesses,Stephani C. P. Brondani,"Tamyres O. Santos, Regina R. Witt, Denise T. Silveira, Alcindo A. Ferla","This poster focuses on two digital learning objects which use hypertext, animations and video. The digital learning objects for Obesity and Dyslipidemia are being evaluated through a research project implemented by the undergraduate nursing students at The Federal University do Rio Grande do Sul (UFRGS). The project “Digital Learning Objects: Obesity and Dyslipidemia” is designed to subsidize the questions about non-communicable chronic diseases in the academic and professional routine in primary health care.",
,,,Definition and Relational Specification of Work-around,Jennifer A. Browne,Carrie Jo Braden,"There are many investigations of nursing work-arounds reported in the literature.1?Despite numerous studies the concept remains vague and not logically linked to a theory base. Assumptions associated with many of these studies are not clearly articulated, leading to poor logic fit with analysis. Nursing literature reflects the assumptions that work-arounds are bad and must be eliminated. This paper defines work-around in its full range of variation consistent with a complex adaptive system base from two perspectives: essential attributes when operating as a mediator and as a moderator. Given the need for increased conceptual rigor in Nursing Informatics research, the moderator/mediator delineation is important. Moderating variables tend to be endemic to situations and are relatively resistant to intervention while mediating work-arounds may represent appropriate problem solving management of routine exceptions2?A clearer understanding of work-arounds can inform integration of the Electronic Health Record and safety, quality and efficiency initiatives.",
,,,Learners’ Critical Thinking Processes when using Virtual Patient Cases,Andrea M. Burrows,"Wendy V. Norman, Leanne M. Currie",Virtual patients (VP) are interactive computer simulations used in health education to increase student exposure to a variety of clinical cases and to develop critical thinking skills. Interdisciplinary student teams developed five VP cases focused on providing education in family planning. The cases pose questions that are complex and ill-defined to promote critical thinking. In Fall 2011?Spring 2012 we will conduct a laboratory study to examine whether complexity of virtual patient case impacts learners’ critical thinking.,
,,,Nurses’ perception of nursing diagnosis,Viv?ca Busck H?kans,,"Formulating a nursing diagnosis on the basis of a patient’s situation and health is a task that places great demands on a nurse’s skills in many areas. The nurses in the study were in contact with nursing diagnoses in their daily work, mainly in standard care plans. All were in favor of using care plans and nursing diagnoses. Awareness of the signs and related factors that exist in the electronic health record (EHR) was low.",
,,,SIGSAC Software: A tool for the Management of Chronic Disease and Telecare,Bustamante Claudia,"Alcayaga Claudia, Lange Ilta, Meza I?igo","Chronic disease management is highly complex because multiple interventions are required to improve clinical outcomes. From the patient’s perspective, his main problems are dealing with self-management without support and feeling isolated between clinical visits. A strategy for providing continuous self-management support is the use of communication technologies, such as the telephone. However, to be efficient and effective, an information system is required for telecare planning and follows up. The use of electronic clinical records facilitates the implementation of telecare, but those systems often do not allow to combine usual care (visits to the health clinics) with telecare. This paper presents the experience of developing an application called SIGSAC (Software de Informaci?n, Gesti?n y Seguimiento para el Autocuidado Cr?nico) for Chronic Disease Management and Telecare follow up.",
,,,Information transfer and continuity of care for stroke patients with eating difficulties from the perspectives of nursing staff in Swedish elderly care,Eva Carlsson,"Margareta Ehnfors, Ann Catrine Eldh, Anna Ehrenberg","Continuity of care is a key issue in the care for elderly people, for example, those having experienced stroke, particularly with regards to informational and managerial continuity based on patient record data. The study aim was to explore municipal nursing staff’s (n=30) perceptions of discharge information provided to them for stroke patients with eating difficulties. Structured interviews were used and data were analysed by content analysis and descriptive statistics. Results showed that nursing staff perceived informational continuity and accuracy of information on patients’ eating difficulties as poor and that little information on eating difficulties reached licensed practical nurses, who instead relied on their own assessments of patients’ eating ability. Co-ordinated care planning and management continuity were largely lacking, increasing the risk for undernutrition and related complications for the patients.",
,,,What Am I Giving Tonight? Information Needs of Nurses Related To Patient Medications Administration While Using a Clinical Information System,Kenrick D. Cato,Suzanne Bakken,"This study examined the information needs of nurses using a Clinical Information System (CIS) to review medications that they have to administer for their shift. In a laboratory setting, nurses were asked to follow a speak-aloud protocol while reviewing a scripted medication list. We coded the nurses’ information seeking behavior utilizing a previously described framework. Our findings suggest that 1) nurses predominately look through physician notes to gather clues in answering medication-related information needs and 2) nurses often leave the CIS to search other computerized sources for information about unfamiliar medications.",
,,,Medical Devices Transition to Information Systems: Lessons Learned,Kathleen G. Charters,,"Medical devices designed to network can share data with a Clinical Information System (CIS), making that data available within clinician workflow. Some lessons learned by transitioning anesthesia reporting and monitoring devices (ARMDs) on a local area network (LAN) to integration of anesthesia documentation within a CIS include the following categories: access, contracting, deployment, implementation, planning, security, support, training and workflow integration. Areas identified for improvement include: Vendor requirements for access reconciled with the organizations’ security policies and procedures. Include clauses supporting transition from stand-alone devices to information integrated into clinical workflow in the medical device procurement contract. Resolve deployment and implementation barriers that make the process less efficient and more costly. Include effective field communication and creative alternatives in planning. Build training on the baseline knowledge of trainees. Include effective help desk processes and metrics. Have a process for determining where problems originate when systems share information.",
,,,Based on Real-Time Recurrent Learning on Cost Structure of the Medical Service,Yung-Tsan Jou,"Ching-Chow Yang, Chien-Hsin Cheng, Ming-Li Chang","Face Taiwan Medical system mechanism, in order to provide the best medication quality, approach cost efficiency without wasting any resources, and management goals of hospitals. Therefore, this paragraph based on Recurrent Neural Network to develop a time serial relation, to construct a formula to calculate the medication cost. According to the information we have, combined with the data base to analysis the current medical system, to understand the medical quality, cost efficiency, and problems. Once we understand the problems, we will be able to correct them and provide the best medical system(1987)6, with reduced cost. To be the guideline for the hospitals and reach our management goal.",
,,,Using a Private-Public Partnership to Supplement Healthcare Information Technology in Nursing Education,Patricia A. Cholewka,"John Harkins, Stephen Hoelper, John Schrieber, Ralph Eddy Daniel, Jasdip Kaur","Various reports by the World Bank and U.S. business technology executives, academics, economists, researchers, and government policymakers have recommended crafting a new educational model for educating America’s future workforce including nurses in their professional research pursuits. According to the National League for Nursing, nursing research is an integral part of the scientific enterprise of improving the nation’s health. A major aim of this new educational focus is the partnering of private business enterprises and public educational institutions to achieve this outcome, i.e., public-private partnerships. Merck & Co., Inc. will partner/collaborate on a student learning pilot project with New York City College of Technology of the City University of New York Department of Nursing Bachelor of Nursing Program students - all practicing New York State Registered Professional Nurses - who are taking either Nursing Informatics or Leadership in the Management of Client Care courses.",
,,,Establishing and evaluating bar-code technology in blood sampling system: a model based on human centered human-centered design method,Shin-Shang Chou,"Hsiu-Fang Yan, Hsiu-Ya Huang, Kuan-Jui Tseng, Shu-Chen Kuo","This study intended to use a human-centered design study method to develop a bar-code technology in blood sampling process. By using the multilevel analysis to gather the information, the bar-code technology has been constructed to identify the patient’s identification, simplify the work process, and prevent medical error rates. A Technology Acceptance Model questionnaire was developed to assess the effectiveness of system and the data of patient’s identification and sample errors were collected daily. The average scores of 8 items users’ perceived ease of use was 25.21(3.72), 9 items users’ perceived usefulness was 28.53(5.00), and 14 items task-technology fit was 52.24(7.09), the rate of patient identification error and samples with order cancelled were down to zero, however, new errors were generated after the new system deployed; which were the position of barcode stickers on the sample tubes. Overall, more than half of nurses (62.5%) were willing to use the new system.",
,,,Factors influencing presence in virtual worlds,Meyrick C.M. Chow,,"Virtual worlds are showing potential as an effective platform for a variety of activities, including learning. The concept of presence (the sensation of “being there” in a mediated environment) has received substantial attention from the virtual reality community, and the effectiveness of virtual worlds has often been linked to the feelings of presence reported by their users. The present study examined the effects of attitude and perceived ease of use on sense of presence in Second Life, which is one of the most known and used virtual worlds. Based on data from a survey of 206 nursing students, hypotheses are empirically tested. Findings suggest that users’ attitude toward using Second Life and their perceived ease of use of it have a positive effect on their sense of presence in the virtual environment. This study advances our understanding of factors influencing presence in virtual worlds.",
,,,Using the LOINC Semantic Structure to Integrate Community-based Survey Items into a Concept-based Enterprise Data Dictionary to Support Comparative Effectiveness Research,"Manuel C. Co, Jr.","Bernadette Boden-Albala, Leigh Quarles, Adam Wilcox, Suzanne Bakken","In designing informatics infrastructure to support comparative effectiveness research (CER), it is necessary to implement approaches for integrating heterogeneous data sources such as clinical data typically stored in clinical data warehouses and those that are normally stored in separate research databases. One strategy to support this integration is the use of a concept-oriented data dictionary with a set of semantic terminology models. The aim of this paper is to illustrate the use of the semantic structure of Clinical LOINC (Logical Observation Identifiers, Names, and Codes) in integrating community-based survey items into the Medical Entities Dictionary (MED) to support the integration of survey data with clinical data for CER studies.",
,,,An Electronic Island in a Sea of Paper: Surviving Partial Implementation of an Electronic Nursing Documentation System,Anita L. Collier,"Shelley L. Dalzell, Sarah Dunlop, Josette Vigneux","Integrating clinical information systems(CISs) into nursing units is a complex process. In 2008, we deployed an electronic nursing documentation system within two pilot units in an acute care setting. Bedside nurses actively participated in modifications to the software and participated in testing devices for use at the bedside.",
,,,Workarounds Used by Nurses to Overcome Design Constraints of Electronic Health Records,Sarah A. Collins,"Matthew Fred, Lauren Wilcox, David K. Vawdrey","Adoption of electronic health records (EHRs) has the potential to assist with clinical reasoning and streamline workflow; however, the data entry and review capabilities of most systems are suboptimal which may lead to workarounds. As an instance of a workaround, we examined nurses’ use of optional free-text comments in EHR flowsheets to support clinical needs for data interpretation. This mixed-method study included: 1) Content analysis of comments, 2) Interviews with nurses. We performed a sub-analysis of flowsheet data for 201 patients that experienced a cardiac arrest and interviewed 5 acute care nurses. We found that nurses used workarounds in the EHR - despite the extra effort that they required - to convey clinically significant relationships and to communicate concerning events to physicians. EHRs should better support entry of clinical data that “belongs together” and enable messaging capabilities integrated with nurses’ flowsheet documentation workflow.",
,,,Informatics Students Across the Globe Learn to Collaborate in Second Life,Cathleen Danforth,"Timothy Condon, Robin DeForest, Zeina Al Awar, Abdellatif Marini, Diane J. Skiba","In preparing healthcare professionals to work in the field of informatics, there are many online programs of study. These programs of students include a variety of educational tools. This poster describes the experiences of four student located across the globe learning how to work as a collaborative team. The team used Second Life as a platform to participate in a system life cycle course. The benefits and challenges of the Virtual Clinic environment are highlighted.",
,,,A Formative and Summative Evaluation of an Electronic Health Record in Community Nursing,Diane Doran,"Lawrence S. Bloomberg, Cheryl Reid-Haughian, Joseph Cafazzo","Implementation of an electronic health record (EHR) system is generally believed to improve the quality of patient care. However due to the variability of systems and users, there is little agreement on successful implementation. The purpose of this research is to evaluate the implementation of a BlackBerry hosted application enabling wireless documentation and access to electronic decision support resources in one home care agency in Ontario. Through mixed-methods including surveys, corporate data collection and interviews, this study investigates nurses’ perceptions of barriers and facilitators to adoption of the electronic clinical information system. Early results highlight usability, organizational culture, evidence-based practice, and factors influencing nurses’ adaptation of this electronic clinical information system.",
,,,A Framework for Harmonizing Terminologies to Support Representation of Nursing Practice in Electronic Records,Patricia C. Dykes,"Rebecca R. DaDamio, Hyeon-eui Kim",Nursing terminology development efforts in the United States and globally provide concept coverage across many domains of nursing practice. Efforts to integrate concepts from across terminology systems into a single reference terminology support broad concept coverage but do not provide a means to leverage the full benefits of the individual terminology systems. The purpose of this paper is to explore the feasibility of harmonizing the 198 Clinical Care Classification (CCC) System core intervention concepts with intervention concepts in the International Classification for Nursing Practice (ICNP®) as a means to leverage both the information model components of the CCC system and the broad concept coverage of the ICNP®. Findings suggest that the CCC system and ICNP® are largely interoperable and a common framework underlying the two terminology systems provides a foundation for harmonization.,
,,,Does the Use of a Classification for Nursing Diagnoses Affect Nursing Students’ Choice of Nursing Interventions?,Joakim Falk,Catrin Bj?rvell,"The Swedish health care system stands before an implementation of standardized language. The first classification of nursing diagnoses translated into Swedish, The NANDA, was released in January 2011. The aim of the present study was to examine whether the usage of the NANDA classification affected nursing students’ choice of nursing interventions. Thirty-three nursing students in a clinical setting were divided into two groups. The intervention group had access to the NANDA classification text book, while the comparison group did not. In total 78 nursing assessments were performed and 218 nursing interventions initiated. The principle findings show that there were no statistical significant differences between the groups regarding the amount, quality or category of nursing interventions when using the NANDA classification compared to free text format nursing diagnoses.",
,,,Capability of Using Clinical Care Classification System to Represent Nursing Practice in Acute Setting in Taiwan,Rung-Chuang Feng,"Kuan-Jui Tseng, Hsiu-Fang Yan, Hsiu-Ya Huang, Polun Chang","This study examines the capability of the Clinical Care Classification (CCC) system to represent nursing record data in a medical center in Taiwan. Nursing care records were analyzed using the process of knowledge discovery in data sets. The study data set included all the nursing care plan records from December 1998 to October 2008, totaling 2,060,214 care plan documentation entries. Results show that 75.42% of the documented diagnosis terms could be mapped using the CCC system. A total of 21 established nursing diagnoses were recommended to be added into the CCC system. Results show that one-third of the assessment and care tasks were provided by nursing professionals. This study shows that the CCC system is useful for identifying patterns in nursing practices and can be used to construct a nursing database in the acute setting.",
,,,The Experiences of Using a Computerized Decision Support System,Mariann Fossum,"Margareta Ehnfors, Ann Fruhling, Anna Ehrenberg","The aim was to describe the facilitators and barriers influencing the ability of nursing personnel to effectively use a CDSS for planning and treating pressure ulcers and malnutrition in nursing homes. Usability evaluations and group interviews were conducted. Facilitators were ease of use, usefulness and a supportive work environment. Lack of training, resistance to using computers and limited integration of the CDSS with the electronic health record system were reported.",
,,,Use of Social Media and Web 2.0 Technologies to Increase Knowledge and Skills of British Columbia Nurses,Noreen C. Frisch,"Elizabeth M. Borycki, Grace Mickelson, Pat Atherton, Helen Novak-Lauscher, Daniel Hooker, Kendall Ho","Health professionals’ use of social media and Web 2.0 technologies are emerging as a new area of research. We present the experiences of a province-wide network in Canada that was developed using such technologies as a means to increase nurses’ capacity in nursing health services research. Our network is based on a model of electronic communities of practice (eCoPs). Network evaluation affirms that nurses do respond to social media, as membership has grown to over 1,400 members in two years. Approaches used for network development and implementation are discussed, and the network’s eHealth eCoP is presented as a case of network activities and directions.",
,,,Embracing an Integrated Personal Health Record for Continuity of Care,Grace Gao,Bonnie L. Westra,"There is a lack of information exchange for patients utilizing complementary and alternative therapies such as Traditional Chinese Medicine (TCM) combined with conventional western medicine. Siloed health information can lead to potential problems for safe, quality care and optimal health. The Continuity of Care Document (CCD) is intended to be a subset of health data to exchange between providers and foundational for personal health records (PHR). It is unknown, however, about the relevance of CCD to represent TCM data for information exchange across different health systems. Four clinical data elements and related standards in CCD were evaluated for relevance to TCM providers and adequacy to represent TCM data. Project results indicate that even though standardized TCM-specific terminology and coding are lacking, the CCD data elements and standards are relevant to TCM providers. Recommendations are made for an integrated PHR containing both conventional western medicine and TCM following the CCD standard.",
,,,Nursing Informatics Competencies: An Analysis of the Latest Research,Luciana S. Gon?alves,"Lillian D. G. Wolff, Nancy Staggers, Aida M. Peres","To update the published NI competencies with the latest research findings, we conducted a literature search via CINAHL and PubMed databases from 2009 to 2011. A total of 19 articles were retrieved with 7 meeting the inclusion criteria. Five studies gave examples of NI competencies. It′s possible to observe trends in NI competencies research field, including contemporary skills, foundational concepts and intellectual capabilities amongst the competencies. The studies consider progressive levels of nursing practice, and give examples of the NI competencies. Nevertheless, a need of studies that links theoretical concepts and practical real environments still remains all over the world, as well as the need for defining competencies as rapid changes in informatics processes and solutions occur.",
,,,Altering the Function of the Electronic Medical Record: Creating a De-identified Database for Clinical Researchers and Educators,Jeffry S. Gordon,,"The electronic medical record (EMR) can be an excellent data source for creating real case based discussion, patient simulations for high and low fidelity simulators, and datasets for retrospective studies and quality improvement trend analysis. Faculty can use cases based on real data, not contrived data in their classrooms. Faculty and doctoral students can perform retrospective studies exploring treatment modalities without being encumbered with the actual processes of collecting and storing data, and quality improvement specialists can look at trending data to improve outcomes. The big problem with using general EMR systems as they are out of the box is patient identifiers need to be scrubbed from the record so it can be used for these purposes. This paper discusses the uses of de-identified datasets and gives an example of how this has happened at one university. Large amounts of real patient data are often needed in order for clinicians to solve the patient care situation. Traditional approaches of solving these problems consist of looking at summary statistics reported in professional settings such as journals and conferences. If a researcher was interested in a specific patient presentation they would collect data and report on the outcomes. If the instructor is both lucky and skilled enough to find the articles they want, they can answer their questions.",
,,,Benefits Realized through Usability Analysis of a Tele-nursing Call Management Software System at HealthLink BC,Simon A. S. Hall,"Amen S. Lalli, Andre W. Kushniruk, Elizabeth M. Borycki","In this paper we describe the analysis of a tele-nursing call management software system at HealthLink BC. Several methods of usability analysis were conducted in a process of continuous quality improvement. In the initial phase usability engineering methods were applied to assess simulated nurse interactions with the call system and decision support software. After modification of the software an evaluation of the resulting benefits of the usability engineering was carried out. Run and control charts were developed and the impact of the changes were assessed in the context of other ongoing changes occurring in the organization. It was found that call handle times were reduced after the software was modified based on the usability analyses, and the software was streamlined to require fewer steps to complete call management tasks. However, ongoing changes in business processes have underlined the need for continual usability analyses and system refinement even within mature systems.",
,,,C-HOBIC ? Standardized Information to Support Clinical Practice and Quality Patient Care across Canada,Kathryn Hannah,"Peggy A. White, Margaret Ann Kennedy, Nora Hammell",Canadian Health Outcomes for Better Information and Care (C-HOBIC) is leading the collection of standardized clinical outcomes reflective of nursing practice. C-HOBIC introduces a systematic structured language for patient assessments across the health care system enabling abstraction of information into jurisdictional EHRs Thus the information is available to clinicians across the health care system. This paper provides the background to C-HOBIC with an overview of the evidence supporting the clinical outcomes; the methodology for the electronic collection and abstraction of outcomes including the implications of including nursing information on databases; and describes the approach to coding information for interoperability and comparability of clinical information across the health care system.,
,,,Experiences of Nursing Personnel Using PDAs in Home Health Care Services in Norwegian Municipalities,Linda M. Hansen,"Mariann Fossum, Olle S?derhamn, Ann Fruhling","Although nursing personnel have used personal digital assistants (PDAs) to support home health care services for the past ten years, little is known about their experiences. This study was conducted to examine experiences of nursing personnel using a specialized home health care computer software application called Gerica. In addition, this research analyzed how well this application aligned with the workflow of the nursing personnel in their daily care of patients. The evaluation methods included user observations and learnability testing. Nursing personnel from two different municipalities were observed while performing real tasks in natural settings. This study shows that the nursing personnel were satisfied with the PDA user interface and the Gerica software; however, they identified areas for improvement. For example, the nursing personnel were concerned about trusting the reliability of the PDA in order to eliminate the need for handwritten documentation. Solutions to meet these shortcomings for nursing managers and vendors are discussed.",
,,,Guidance on Evaluating Options for Representing Clinical Data within Health Information Systems,Nicholas R. Hardiker,Brenda Hynes,"The health information system PlunketPlus is a clinical initiative of Plunket (the Royal New Zealand Plunket Society) with a goal of further improving the health outcomes for children in New Zealand. The success of PlunketPlus depends heavily on how data is represented within the system. The purpose of the study described in this paper was to use PlunketPlus as a case study to inform the development of guidance on evaluating options for representing clinical data within health information systems, with a particular focus on automating existing informational processes. It has been possible to take some of the lessons learned to inform the development of initial more generic guidance that might be applicable across a range of domains. This paper concludes with a description of how Plunket applied the guidance as part of the development of PlunketPlus.",
,,,Engineering a Learning Healthcare System: Using Health Information Technology to Develop an Objective Nurse Staffing Tool,Ellen M Harper,,"Nurses represent the largest proportion of direct healthcare providers. Overstaffed or understaffed units will have implications for the quality, cost, patient, and nurse satisfaction. It is vital that nurses are armed with appropriate instruments and data to help them plan and implement efficient and effective nursing teams. A compelling case is made for the association between nursing care and clinical, quality, and financial outcomes. Even though there is a great body of work on the correlation, there is little agreement on the best approach to determine the correct balance between the patient-to-nurse ratios. The sheer number of variables depicted in the literature suggests why precise evidenced based formulas are difficult to achieve. This paper will describe a practice based knowledge generation mixed methods study using detailed observation and electronic health record abstraction to generate a structural equation for use in predicting staffing needs.",
,,,The Role of Nurse Informaticists in the Emerging Field of Clinical Intelligence,Linda Harrington,,"Clinical intelligence (CI) is an emerging field in health care arising from the proliferation of electronic data being generated through the increasing use of healthcare information technology (HIT). It is defined as the electronic aggregation of accurate, relevant and timely data into meaningful information and actionable knowledge in order to achieve optimal healthcare structures, processes and outcomes. Clinical intelligence will dramatically change the discipline of nursing informatics in the future. This presentation describes the role of nurse informaticists (NI) today in building clinical intelligence, including communicating the vision, designing systems, educating clinicians, preparing themselves, and supporting research.",
